packet_rate,byte_rate,flow_count,flow_growth_rate,src_ip_entropy,latency,packet_loss,controller_cpu,label
0.0,0.0,16,0.0,0.0,35.8,0.0,1.7,2
317.60222590728426,18347.793347504154,20,0.7424949758206528,0.0,0.067,0.0,6.34,2
269.32077371255,15909.283666969544,20,0.0,0.0,0.051,0.0,5.56,2
176.63634475709827,10482.067427647868,20,0.0,0.0,0.05,0.0,10.37,2
18.306850208684622,2294.4585594884725,20,0.0,0.0,0.05,0.0,14.35,2
19.080936019034425,2401.9082260760533,18,0.0,0.0,0.049,0.0,13.95,2
12.53911912645087,1493.6750692751023,16,0.0,0.0,0.052,0.0,5.53,2
18.335808628950467,2329.4116879029157,16,0.0,0.0,0.05,0.0,2.36,2
18.85351686732278,2310.0319151578315,16,0.0,0.0,0.052,0.0,15.53,2
15.405056083763506,1747.4278431804828,16,0.0,0.0,0.048,0.0,1.61,2
19.78455148630795,2437.833591712879,16,0.0,0.0,0.057,0.0,1.38,2
13.153257250194692,1570.0032856899056,16,0.0,0.0,0.061,0.0,4.65,2
18.275534973305856,2290.533716654334,16,0.0,0.0,0.049,0.0,5.11,2
17.38445892964262,2199.511977620001,16,0.0,0.0,0.051,0.0,0.99,2
13.302211609898578,1599.6859618875176,16,0.0,0.0,0.052,0.0,1.54,2
18.07253967870676,2295.9655616823716,16,0.0,0.0,0.048,0.0,1.92,2
12.62606041363994,1535.4054678768812,16,0.0,0.0,0.046,0.0,1.46,2
18.269908643465588,2289.82854998102,16,0.0,0.0,0.05,0.0,1.64,2
26.058368386520637,3239.606790943208,16,0.0,0.0,0.053,0.0,2.68,2
19.648235203958997,2441.340913983177,16,0.0,0.0,0.05,0.0,1.57,2
23.626461703453558,2887.763335302759,16,0.0,0.0,0.052,0.0,1.65,2
14.114948939363636,1659.0787280349311,16,0.0,0.0,0.05,0.0,3.46,2
20.539686406072043,2500.5166376577336,16,0.0,0.0,0.059,0.0,2.68,2
12.761987639119848,1510.8669545298303,16,0.0,0.0,0.064,0.0,2.99,2
19.2342449119399,2410.565070250844,16,0.0,0.0,0.057,0.0,3.52,2
18.55234152424535,2314.6436817156414,16,0.0,0.0,0.053,0.0,3.23,2
12.69109658991298,1533.5390745065,16,0.0,0.0,0.061,0.0,2.27,2
17.91951887685002,2276.5255439798216,16,0.0,0.0,0.05,0.0,1.81,2
13.347619831076061,1605.1466248285467,16,0.0,0.0,0.055,0.0,4.01,2
18.306696228727642,2294.4392606671977,16,0.0,0.0,0.051,0.0,3.4,2
18.272194414429695,2321.330032066506,16,0.0,0.0,0.05,0.0,1.41,2
12.589417867806322,1499.6667163135348,16,0.0,0.0,0.05,0.0,3.86,2
18.29537622952112,2324.275088492079,16,0.0,0.0,0.054,0.0,1.34,2
13.332737540574758,1603.3569230936903,16,0.0,0.0,0.056,0.0,1.85,2
17.52071993893565,2216.751957491423,16,0.0,0.0,0.054,0.0,1.98,2
19.0466857467869,2397.596801805535,16,0.0,0.0,0.048,0.0,1.69,2
11.84060175846792,1426.601534447667,16,0.0,0.0,0.053,0.0,1.23,2
28.922359359020547,3676.9452121954805,16,0.0,0.0,0.054,0.0,1.83,2
15.830336801471683,1937.022898262005,16,0.0,0.0,0.053,0.0,3.94,2
24.007002557001734,2966.9606652192933,16,0.0,0.0,0.053,0.0,1.77,2
13.684145923918313,1626.512789123513,16,0.0,0.0,0.052,0.0,1.63,2
18.33918167861691,2298.510770386653,16,0.0,0.0,0.052,0.0,3.94,2
18.635468895078922,2314.6012999071495,16,0.0,0.0,0.05,0.0,3.68,2
13.9407290822265,1647.67959618425,16,0.0,0.0,0.049,0.0,8.26,2
19.070949247034008,2400.651091216641,16,0.0,0.0,0.049,0.0,10.13,2
14.478499004273369,1683.6970289443163,16,0.0,0.0,0.058,0.0,2.85,2
18.109773551293582,2258.955964029778,16,0.0,0.0,0.053,0.0,1.51,2
18.44356928811463,2332.2558854434437,16,0.0,0.0,0.052,0.0,1.72,2
13.168227098848321,1540.491726694256,16,0.0,0.0,0.046,0.0,4.47,2
19.2346309232148,2410.613447782702,16,0.0,0.0,0.064,0.0,2.06,2
17.53035033809016,2217.9704123409724,16,0.0,0.0,0.049,0.0,1.38,2
13.333389645768895,1603.4353434011794,16,0.0,0.0,0.051,0.0,1.5,2
18.474517541250627,2336.169403721445,16,0.0,0.0,0.054,0.0,1.23,2
12.572416889264938,1497.6415391424387,16,0.0,0.0,0.054,0.0,0.99,2
18.32290329328659,2327.772172551284,16,0.0,0.0,0.05,0.0,2.88,2
18.478962308452463,2305.4886789370275,16,0.0,0.0,0.058,0.0,1.26,2
12.564608221414177,1527.9325088646997,16,0.0,0.0,0.05,0.0,3.71,2
