packet_rate,byte_rate,flow_count,flow_growth_rate,src_ip_entropy,latency,packet_loss,controller_cpu,label
0.0,0.0,12,0.0,0.0,12.1,0.0,2.05,3
91.96574163177101,6486.244951120115,18,1.1400711772533596,0.0,0.052,0.0,1.39,3
50.72179009386409,3558.5340102695172,18,0.0,0.0,0.057,0.0,2.41,3
57.15008781726741,4461.516855601343,18,0.0,0.0,0.056,0.0,6.97,3
60.47398084127414,4636.084171623483,18,0.0,0.0,0.047,0.0,6.49,3
51.97687723571228,3698.9259008623376,18,0.0,0.0,0.045,0.0,51.37,3
57.14016622123848,4454.647358607752,18,0.0,0.0,0.071,0.0,2.01,3
49.123555818968924,3403.9958563237456,18,0.0,0.0,0.048,0.0,2.07,3
57.289011127750015,4466.251307519391,18,0.0,0.0,0.063,0.0,1.23,3
57.18274363763652,4450.504814656445,18,0.0,0.0,0.052,0.0,1.35,3
53.45350609822012,3749.763452790141,18,0.0,0.0,0.059,0.0,2.33,3
55.45698986387816,4300.489461403005,18,0.0,0.0,0.055,0.0,0.93,3
51.99821605912328,3647.904260441877,18,0.0,0.0,0.054,0.0,1.07,3
57.16044389667511,4456.228206184792,18,0.0,0.0,0.068,0.0,1.57,3
56.66586657294762,4426.78313361819,18,0.0,0.0,0.058,0.0,1.13,3
49.12370745773237,3404.006364067207,18,0.0,0.0,0.053,0.0,1.25,3
57.26251759971213,4464.185872073558,18,0.0,0.0,0.053,0.0,1.47,3
51.45043660053561,3662.127742922568,18,0.0,0.0,0.051,0.0,1.59,3
86.0762365166025,6764.982800919884,18,0.0,0.0,0.051,0.0,1.24,3
76.85889593761601,5462.893834335168,18,0.0,0.0,0.048,0.0,1.84,3
58.09095120222439,4521.1901627488605,18,0.0,0.0,0.051,0.0,1.27,3
56.15277341411556,4338.801075258813,18,0.0,0.0,0.048,0.0,1.21,3
52.917403230030736,3764.749644185424,18,0.0,0.0,0.08,0.0,2.41,3
56.89664943150281,4438.6922536629345,18,0.0,0.0,0.07,0.0,2.7,3
50.29878836043955,3528.739441197948,18,0.0,0.0,0.079,0.0,1.75,3
56.7108024833492,4416.7046765745035,18,0.0,0.0,0.069,0.0,0.97,3
55.03325590324827,4260.177111085698,18,0.0,0.0,0.068,0.0,1.89,3
50.2683227638662,3526.719697064929,18,0.0,0.0,0.068,0.0,1.15,3
57.18513032601888,4458.1527602164315,18,0.0,0.0,0.052,0.0,2.87,3
50.62677239215721,3583.081267123126,18,0.0,0.0,0.052,0.0,1.28,3
55.67075900598746,4278.259698953283,18,0.0,0.0,0.056,0.0,2.0,3
56.660151087680894,4426.336635306077,18,0.0,0.0,0.05,0.0,1.21,3
50.16002528491614,3519.1217739364847,18,0.0,0.0,0.067,0.0,1.13,3
56.40360850003482,4381.950611712165,18,0.0,0.0,0.053,0.0,1.63,3
55.14730793816401,4246.723037500272,18,0.0,0.0,0.05,0.0,1.09,3
51.03856156664471,3632.811393288067,18,0.0,0.0,0.051,0.0,1.38,3
82.71420270989253,6293.5216633319615,18,0.0,0.0,0.052,0.0,1.99,3
80.31807093359892,5992.031178706606,18,0.0,0.0,0.053,0.0,1.24,3
57.41523151919767,4476.09144923665,18,0.0,0.0,0.052,0.0,1.09,3
50.8985711547673,3570.9064976445734,18,0.0,0.0,0.048,0.0,1.83,3
57.13334793271685,4454.115804834606,18,0.0,0.0,0.054,0.0,2.42,3
50.72715888546414,3565.0131887401003,18,0.0,0.0,0.063,0.0,2.27,3
57.136375487828545,4454.3518330311135,18,0.0,0.0,0.079,0.0,2.38,3
57.311715457886145,4465.000136732269,18,0.0,0.0,0.05,0.0,2.67,3
